Ensemble,best_train_rmse,best_train_r2,best_train_mae,best_val_rmse,best_val_r2,best_val_mae
1,0.559669879,0.912703182,0.416697669,0.997007944,0.721355056,0.763423514
2,0.602908012,0.89351039,0.428934678,0.99552624,0.672543112,0.779437534
3,0.529174702,0.927804446,0.372211779,0.965388072,0.74917429,0.763281413
4,0.376236554,0.964569255,0.275531093,0.994373554,0.737925281,0.782792627
5,0.420635553,0.955839513,0.310381516,0.937847516,0.772563886,0.725073085
6,0.436692228,0.953187228,0.323527859,0.94162677,0.760985061,0.747573477
7,0.440142984,0.952288914,0.328974659,0.941668414,0.791611083,0.727497334
8,0.45747904,0.946596896,0.340307951,0.932949092,0.778466962,0.726895552
9,0.483354318,0.939616459,0.369751324,0.940093645,0.727793559,0.74532913
10,0.43607653,0.950189127,0.317520388,0.952772289,0.759578102,0.756996681