Repeat,Fold,best_train_rmse,best_train_r2,best_train_mae,best_val_rmse,best_val_r2,best_val_mae
1,1,0.572177434,0.923259026,0.428393377,0.686798791,0.900211553,0.514828457
1,2,0.566735907,0.928065723,0.426192339,0.76439732,0.877354341,0.557404804
1,3,0.527565652,0.929560095,0.390339293,0.688090736,0.870180301,0.488784346
1,4,0.536966855,0.930056769,0.396039017,0.713496731,0.870603422,0.508945863
1,5,0.531281502,0.928275965,0.39553581,0.636480595,0.885404306,0.473296991
2,1,0.536269471,0.927661945,0.388855696,0.728805839,0.871705197,0.531194981
2,2,0.547417449,0.923941988,0.397414006,0.569394502,0.92157837,0.452624069
2,3,0.540889076,0.930125065,0.401898572,0.671320927,0.875648376,0.498665334
2,4,0.528107043,0.933500128,0.385418894,0.629498075,0.886217237,0.475781489
2,5,0.534623177,0.927486285,0.406268348,0.72338798,0.887107783,0.501671374
3,1,0.544206576,0.923700157,0.39462692,0.692212572,0.894972826,0.529528539
3,2,0.591852317,0.919446977,0.446114085,0.679296656,0.891525573,0.490773667
3,3,0.53966125,0.92614716,0.398204034,0.674453385,0.88244655,0.480839295
3,4,0.54253758,0.927499383,0.39682687,0.651379423,0.895810656,0.483573374
3,5,0.546108803,0.926236311,0.401651866,0.664328905,0.866795082,0.489952954
4,1,0.541059647,0.92969888,0.393956041,0.57285324,0.918240873,0.447612901
4,2,0.513102083,0.93562277,0.378014339,0.778009434,0.874834084,0.558814429
4,3,0.534829654,0.93167158,0.394724142,0.697491046,0.873736603,0.52521047
4,4,0.529993212,0.929837667,0.396111572,0.671730541,0.869614465,0.488199741
4,5,0.540611391,0.923068289,0.396670127,0.630962609,0.904510897,0.479677012
5,1,0.547931399,0.922015467,0.398184378,0.72213596,0.84986413,0.550912611
5,2,0.564263585,0.925428266,0.418598952,0.67399816,0.887183159,0.529753468
5,3,0.546005631,0.930765156,0.406123219,0.711389674,0.855378724,0.519004415
5,4,0.51419152,0.931614769,0.378129652,0.690104338,0.895866701,0.482559719
5,5,0.549459009,0.928881109,0.411510577,0.641007208,0.913864314,0.46259602