number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.6143502555612838,2025-12-17 18:11:39.490749,2025-12-17 18:11:59.580977,0 days 00:00:20.090228,0.8449571029592047,0.18325028708646435,0.09231851332391205,6,3,429,0.18704533607217602,1.374839398347334,0.7943839584576831,COMPLETE
1,0.5925524646818733,2025-12-17 18:11:59.584079,2025-12-17 18:12:55.615335,0 days 00:00:56.031256,0.8043237244387562,0.20079988085088657,0.02033732206566857,5,10,970,0.02877218447480503,8.88941722476027,0.7868453049736327,COMPLETE
2,0.5923745557855052,2025-12-17 18:12:55.618334,2025-12-17 18:13:15.023332,0 days 00:00:19.404998,0.7417016588116678,0.4236288869356309,0.05312184608448479,4,10,791,0.11658860398032417,3.8935242538637844,0.6912068879970679,COMPLETE
3,0.6588643127000053,2025-12-17 18:13:15.026013,2025-12-17 18:13:35.676274,0 days 00:00:20.650261,0.7552267272089586,0.009675880937831394,0.011348802738520238,3,7,547,0.10117781316351025,3.649291975134183,0.9689205584016612,COMPLETE
4,0.6226256545201575,2025-12-17 18:13:35.679153,2025-12-17 18:14:06.822597,0 days 00:00:31.143444,0.6682801558003453,0.3277208559836653,0.03063677378205268,7,9,867,0.09721017684782914,4.853673495644037,0.9841950116501152,COMPLETE
5,0.5779650884730557,2025-12-17 18:14:06.826007,2025-12-17 18:15:15.537479,0 days 00:01:08.711472,0.6687998195455666,0.06728501527072756,0.02477817760613355,5,9,1189,0.006135223643770083,9.49426185358128,0.6220238745936698,COMPLETE
6,0.6279626162517123,2025-12-17 18:15:15.540573,2025-12-17 18:16:04.705309,0 days 00:00:49.164736,0.5455415347752577,0.2627371655185874,0.017735104850910757,7,3,502,0.026208771103673992,3.0074762955458185,0.992202895604499,COMPLETE
7,0.6059578450082512,2025-12-17 18:16:04.708564,2025-12-17 18:16:24.189745,0 days 00:00:19.481181,0.6889238794039467,0.11976274757459082,0.09939286410655566,6,9,802,0.10454301823289779,2.263437122196361,0.7355933504359337,COMPLETE
8,0.6104537151513052,2025-12-17 18:16:24.192817,2025-12-17 18:16:40.360051,0 days 00:00:16.167234,0.5390433005899091,0.42339459323839246,0.09047213496335098,5,6,1117,0.18955106226972473,8.0283856974342,0.7945567274244849,COMPLETE
9,0.6012164539455987,2025-12-17 18:16:40.362907,2025-12-17 18:17:12.363806,0 days 00:00:32.000899,0.6884245821756199,0.4687727787751455,0.031494158611141736,6,8,1045,0.17350931888756516,3.7931424831128173,0.6593206400751458,COMPLETE
10,0.5736123980243297,2025-12-17 18:17:12.366872,2025-12-17 18:17:53.805421,0 days 00:00:41.438549,0.613257244378913,0.0001647574986616135,0.04832823584260039,3,1,1186,0.0013757147311821939,6.957410509951938,0.62190442468726,COMPLETE
11,0.5740978880842452,2025-12-17 18:17:53.808271,2025-12-17 18:18:36.066666,0 days 00:00:42.258395,0.6194037072641805,0.003055052162673244,0.048364292488667505,3,1,1185,0.008405442175033598,7.2881848046827225,0.6002798276351993,COMPLETE
12,0.5714671385797895,2025-12-17 18:18:36.069610,2025-12-17 18:19:17.111172,0 days 00:00:41.041562,0.5938164957956602,0.0032080746355426033,0.04937618493560799,3,1,1195,0.05691988236631272,6.9129621061574875,0.6251344316154072,COMPLETE
13,0.5834650850857112,2025-12-17 18:19:17.113854,2025-12-17 18:19:47.153485,0 days 00:00:30.039631,0.6015775723395549,0.07316412814511877,0.04910887318089206,3,1,967,0.05717349072695223,6.3268078415220055,0.8838458878298645,COMPLETE
14,0.5871370752899915,2025-12-17 18:19:47.156057,2025-12-17 18:20:08.138981,0 days 00:00:20.982924,0.5009657949361133,0.12287650973477293,0.06311942808138936,4,3,693,0.06639544359937584,6.018657076004167,0.7042936806271888,COMPLETE
15,0.5762942182488066,2025-12-17 18:20:08.142910,2025-12-17 18:20:55.553048,0 days 00:00:47.410138,0.594943831612327,0.04759699741781925,0.039993834848811145,4,4,1067,0.05896350635234443,7.232411099830184,0.6476988857203649,COMPLETE
16,0.5861108022287362,2025-12-17 18:20:55.556161,2025-12-17 18:21:17.159494,0 days 00:00:21.603333,0.6221002340285703,0.13501254869091,0.06875603437294936,3,1,929,0.13687825240383944,4.931072073714082,0.8596582115085579,COMPLETE
17,0.5920707007848067,2025-12-17 18:21:17.162090,2025-12-17 18:21:43.354643,0 days 00:00:26.192553,0.5632804760898046,0.3015583505257629,0.0383250752703105,4,5,1101,0.037804438462440304,6.931646002019034,0.7356722998356799,COMPLETE
18,0.5863676151883606,2025-12-17 18:21:43.357250,2025-12-17 18:22:00.085177,0 days 00:00:16.727927,0.5013823323048933,0.19177255202309626,0.0683278392227088,3,2,653,0.07798643703608898,8.45081097042692,0.6601318862085838,COMPLETE
19,0.5838580727557191,2025-12-17 18:22:00.088201,2025-12-17 18:23:12.190737,0 days 00:01:12.102536,0.6418018327316025,0.0005277010075064844,0.04019756492812243,4,2,1198,0.0438671375801933,9.958188232222465,0.8613604698767433,COMPLETE
20,0.5874514944890655,2025-12-17 18:23:12.193459,2025-12-17 18:23:47.839773,0 days 00:00:35.646314,0.7329887426742181,0.08810369926592772,0.025091381946327644,3,5,1027,0.003453907759744773,5.427778326383374,0.7428333191258043,COMPLETE
21,0.5744715753158748,2025-12-17 18:23:47.842546,2025-12-17 18:24:25.269125,0 days 00:00:37.426579,0.5753483232805037,0.023267227871128247,0.049262001684614365,3,1,1142,0.00010906691048454334,7.604913082074922,0.6054498532856322,COMPLETE
22,0.5725936651480567,2025-12-17 18:24:25.271930,2025-12-17 18:25:04.142296,0 days 00:00:38.870366,0.6310153258687613,0.04344158640052983,0.062486860883221404,3,2,1199,0.016979990827159747,6.880314749990977,0.6038277018679801,COMPLETE
23,0.5823557646367378,2025-12-17 18:25:04.144686,2025-12-17 18:25:42.697626,0 days 00:00:38.552940,0.653821232068382,0.044854824085693155,0.07565236530651705,4,2,1111,0.02444549338696099,6.432879548662116,0.6360613218185197,COMPLETE
24,0.5785966396017418,2025-12-17 18:25:42.700313,2025-12-17 18:26:09.383647,0 days 00:00:26.683334,0.5850537682502652,0.09558694211306251,0.06032362745548096,3,4,1010,0.04644372420722075,5.565304389178597,0.6864825959465777,COMPLETE
25,0.5773147609158966,2025-12-17 18:26:09.386443,2025-12-17 18:27:13.064705,0 days 00:01:03.678262,0.7136401981326863,0.045581238634271055,0.03834902585906212,4,2,1155,0.018398068485721175,8.59536864815574,0.6725638834254415,COMPLETE
26,0.5820994243047821,2025-12-17 18:27:13.067734,2025-12-17 18:27:34.919116,0 days 00:00:21.851382,0.6230033476844016,0.15225693923045122,0.0783018043479031,3,4,890,0.07602210933752102,6.689059016926199,0.624757591877281,COMPLETE
27,0.5816158560042544,2025-12-17 18:27:34.922108,2025-12-17 18:28:07.026819,0 days 00:00:32.104711,0.5416032544207467,0.09364903767765792,0.05874858208430115,4,1,1078,0.039376158642850455,7.794090515335654,0.7133693426166784,COMPLETE
28,0.5755677470575893,2025-12-17 18:28:07.029762,2025-12-17 18:28:52.875677,0 days 00:00:45.845915,0.7743036256516025,0.0346344601354324,0.04533147754997442,3,3,1198,0.017760611974986622,5.903584123576518,0.6373235823598579,COMPLETE
29,0.6064253477657813,2025-12-17 18:28:52.878651,2025-12-17 18:29:07.519125,0 days 00:00:14.640474,0.6352566876101589,0.23472328643592988,0.08746394156454167,5,2,407,0.07655668756312835,4.736317169471336,0.7607383402167237,COMPLETE
30,0.5795737193019401,2025-12-17 18:29:07.521810,2025-12-17 18:29:46.031537,0 days 00:00:38.509727,0.8712504996577343,0.15319900672622716,0.05630322114962957,3,3,1137,0.16692474052096046,7.963574348517256,0.6049225141721314,COMPLETE
31,0.5723041811282179,2025-12-17 18:29:46.034375,2025-12-17 18:30:26.611868,0 days 00:00:40.577493,0.6064565994207507,0.0012821402281294292,0.0443841830384176,3,1,1157,0.011350896464966185,7.203133259601165,0.6086586609350702,COMPLETE
32,0.5755476090740944,2025-12-17 18:30:26.614494,2025-12-17 18:31:01.418041,0 days 00:00:34.803547,0.6027239545196702,0.05782198092052221,0.04367791263724946,3,1,997,0.015156103005292215,6.869810676583304,0.6691342948105637,COMPLETE
33,0.5730905322127168,2025-12-17 18:31:01.420963,2025-12-17 18:32:01.695124,0 days 00:01:00.274161,0.5628340706478625,0.023612949229264952,0.03550704715345365,4,2,1146,0.03420745760936607,9.33338926582977,0.6264748331849854,COMPLETE
34,0.5811566690590406,2025-12-17 18:32:01.697642,2025-12-17 18:33:08.491440,0 days 00:01:06.793798,0.5189207697570568,0.028180158974248137,0.03460268154557614,5,2,1073,0.031996992627876905,8.922488376503457,0.6454157741767063,COMPLETE
35,0.5767510527949219,2025-12-17 18:33:08.494243,2025-12-17 18:33:59.614416,0 days 00:00:51.120173,0.5496935293574956,0.09112286850479007,0.028052921346872515,4,2,1139,0.04999499826184407,9.26514957737936,0.6915645250480231,COMPLETE
36,0.598652622371818,2025-12-17 18:33:59.617145,2025-12-17 18:34:42.470753,0 days 00:00:42.853608,0.5734091005974205,0.17135087396384716,0.017657687656297095,4,4,965,0.03019956096524952,8.467695584508691,0.9411066772999881,COMPLETE
37,0.5816725832174146,2025-12-17 18:34:42.473844,2025-12-17 18:35:09.371652,0 days 00:00:26.897808,0.6613639382970595,0.06517902302342461,0.03352213468791116,3,3,810,0.08911054395166781,1.032383489699514,0.6007074854260407,COMPLETE
38,0.6130901494115212,2025-12-17 18:35:09.374614,2025-12-17 18:35:41.231750,0 days 00:00:31.857136,0.5659140193547342,0.3623968101589984,0.013090951257134846,4,6,687,0.05885889704128562,9.26704503939297,0.6235972250774777,COMPLETE
39,0.5883935076314826,2025-12-17 18:35:41.234494,2025-12-17 18:36:13.165436,0 days 00:00:31.930942,0.5247001340536542,0.026066335004218833,0.02216363412898943,3,2,1086,0.016088160864989726,4.313635263149523,0.8190657466975187,COMPLETE
40,0.5907704173334765,2025-12-17 18:36:13.168287,2025-12-17 18:36:59.551872,0 days 00:00:46.383585,0.8118309282042376,0.0713497418862371,0.05309610626755859,5,1,486,0.12032661976096282,9.83060536723664,0.7094244046865626,COMPLETE
41,0.5720519046673459,2025-12-17 18:36:59.554832,2025-12-17 18:37:40.615004,0 days 00:00:41.060172,0.6123570454037772,0.002662216832646237,0.053715418804185316,3,1,1166,0.009649608734007518,7.475491420201022,0.631278677792727,COMPLETE
42,0.5787896226464,2025-12-17 18:37:40.617988,2025-12-17 18:38:24.798163,0 days 00:00:44.180175,0.6836869086562777,0.025138165307363118,0.02818025974029186,3,1,1159,0.02592496097195951,7.449148363516883,0.658088125815778,COMPLETE
43,0.5739245658575186,2025-12-17 18:38:24.801160,2025-12-17 18:38:59.397625,0 days 00:00:34.596465,0.5881117948980313,0.0015797353198384358,0.05377167525044781,3,2,1047,0.01266704133848955,8.064668517509377,0.624083003578511,COMPLETE
44,0.5774860840379464,2025-12-17 18:38:59.400352,2025-12-17 18:39:38.566944,0 days 00:00:39.166592,0.642135519780386,0.02698444511646802,0.035041734057976434,3,3,1154,0.03374182657444047,6.336168978483741,0.6767185203274273,COMPLETE
45,0.6004420796470896,2025-12-17 18:39:38.569919,2025-12-17 18:40:20.230739,0 days 00:00:41.660820,0.55873323761033,0.22305015489080424,0.04337474155112026,7,1,1169,0.009855363063946958,5.665424476055678,0.642139613549747,COMPLETE
46,0.580204298135253,2025-12-17 18:40:20.234126,2025-12-17 18:40:47.488700,0 days 00:00:27.254574,0.6069946645980635,0.1093444545998948,0.06610003205564795,3,8,1108,0.022543442574155213,7.248898647288943,0.6247377032157975,COMPLETE
47,0.5979423627585185,2025-12-17 18:40:47.491738,2025-12-17 18:41:30.068945,0 days 00:00:42.577207,0.677961033316888,0.05588020661833903,0.07729755396767496,6,1,1199,0.046833072987672655,2.8507513967032825,0.6126136082282618,COMPLETE
48,0.576791097270201,2025-12-17 18:41:30.071884,2025-12-17 18:42:37.073143,0 days 00:01:07.001259,0.7053930002797595,0.012456143392554811,0.05096491813331458,4,3,1122,0.06859452618594544,8.194009479471003,0.6547302638328741,COMPLETE
49,0.5901021458581909,2025-12-17 18:42:37.076599,2025-12-17 18:43:00.852463,0 days 00:00:23.775864,0.6298614604045172,0.4877606964478838,0.043786555307160975,3,2,1068,0.00781730978832304,6.609041351302193,0.6349492401133778,COMPLETE
50,0.5940466324321931,2025-12-17 18:43:00.855392,2025-12-17 18:43:27.171837,0 days 00:00:26.316445,0.652862473728701,0.27528430963523826,0.030865155681844576,4,7,585,0.05097235028846511,8.95764969222298,0.7697291538074102,COMPLETE
51,0.5754479370381218,2025-12-17 18:43:27.174813,2025-12-17 18:44:08.558021,0 days 00:00:41.383208,0.6077702066804899,0.00739498660049669,0.047225082479388156,3,1,1169,0.005425493173455126,7.057976755002977,0.6148564091121996,COMPLETE
52,0.5769059078948197,2025-12-17 18:44:08.561383,2025-12-17 18:44:47.288094,0 days 00:00:38.726711,0.5869291008641468,0.0010833305345777546,0.057086782693022003,3,1,1117,0.03894299953620768,6.024404789476831,0.6919133217175591,COMPLETE
53,0.5773600757147183,2025-12-17 18:44:47.291051,2025-12-17 18:45:21.220777,0 days 00:00:33.929726,0.6154683725801324,0.0715741981639887,0.040282146294135734,3,10,1182,0.024112540961653023,7.621851836117555,0.6560718775610743,COMPLETE
54,0.5737893231580468,2025-12-17 18:45:21.224287,2025-12-17 18:46:00.390809,0 days 00:00:39.166522,0.5914603824856041,0.0472780757903537,0.03650205962742665,3,1,1136,0.0027429874204750043,6.986621096723613,0.6015985557495724,COMPLETE
55,0.5931622290914998,2025-12-17 18:46:00.393653,2025-12-17 18:46:21.833372,0 days 00:00:21.439719,0.5271569984471345,0.3670230756605928,0.06136074929631361,4,2,1041,0.00035075595909986323,7.39763448353168,0.6338020659944603,COMPLETE
56,0.5823974175075616,2025-12-17 18:46:21.836168,2025-12-17 18:46:53.332843,0 days 00:00:31.496675,0.5754872507927249,0.04006616874898264,0.06820946230349377,3,1,1096,0.010378939700308829,5.207994916217375,0.8219954521287538,COMPLETE
57,0.5736886083056923,2025-12-17 18:46:53.335974,2025-12-17 18:47:29.755567,0 days 00:00:36.419593,0.5513388063489524,0.02434660158908765,0.04142309559551902,3,2,1174,0.03340253391566878,6.303084907033263,0.6175769317381004,COMPLETE
58,0.5808519892229136,2025-12-17 18:47:29.758053,2025-12-17 18:48:04.646703,0 days 00:00:34.888650,0.6422844734522689,0.11081325750224587,0.048121202661320424,4,3,928,0.017934197545655332,6.6800823429686735,0.6744741622048198,COMPLETE
59,0.587112128242835,2025-12-17 18:48:04.649739,2025-12-17 18:48:32.489066,0 days 00:00:27.839327,0.617356861778178,0.07998401475605027,0.05461431058959126,3,1,994,0.025884181657678078,8.282077950982194,0.9327342853198537,COMPLETE
60,0.5783388148391664,2025-12-17 18:48:32.492205,2025-12-17 18:49:00.269600,0 days 00:00:27.777395,0.662459334407036,0.014628624467943004,0.07303421300423014,3,2,750,0.15212526973244922,7.832190121896508,0.7245444121249652,COMPLETE
61,0.5756871238945042,2025-12-17 18:49:00.272599,2025-12-17 18:49:37.365310,0 days 00:00:37.092711,0.5594551127210351,0.03682969879434141,0.03981125668579191,3,2,1174,0.037828584990863015,6.1083986709463165,0.6168408160028853,COMPLETE
62,0.5746155873103901,2025-12-17 18:49:37.368020,2025-12-17 18:50:16.840552,0 days 00:00:39.472532,0.5473703736810974,0.019712260336891916,0.04118326636803788,3,1,1200,0.19678184501149207,6.344010490993214,0.6436950895504148,COMPLETE
63,0.5741900759954608,2025-12-17 18:50:16.843581,2025-12-17 18:50:55.009050,0 days 00:00:38.165469,0.6024263599047388,0.05731171380457188,0.04981388315338916,3,2,1153,0.03238473904873302,5.733158753327769,0.6165269015074781,COMPLETE
64,0.5850854424348141,2025-12-17 18:50:55.012288,2025-12-17 18:53:02.626327,0 days 00:02:07.614039,0.53464915646279,0.0020577764729576946,0.03678086439550346,6,1,1125,0.020450362897632204,7.096949214164895,0.6280244148404515,COMPLETE
65,0.5762727937198769,2025-12-17 18:53:02.628850,2025-12-17 18:53:38.489973,0 days 00:00:35.861123,0.5767148469221008,0.03903216463717827,0.06289264146878393,3,2,1174,0.011587292473410879,5.269182814826705,0.6492064392952979,COMPLETE
66,0.5741079109509367,2025-12-17 18:53:38.492449,2025-12-17 18:54:16.298677,0 days 00:00:37.806228,0.6300869413670139,0.022373913482790136,0.04586210359676759,3,2,1095,0.055299822238070465,6.760048429268091,0.6108279150005465,COMPLETE
67,0.5770241619826405,2025-12-17 18:54:16.301176,2025-12-17 18:55:10.324832,0 days 00:00:54.023656,0.512206613730836,0.05572203300878302,0.03309447917354416,4,1,1137,0.03946601600363918,7.605407740223116,0.665710369369075,COMPLETE
68,0.58421841430557,2025-12-17 18:55:10.327892,2025-12-17 18:55:40.967362,0 days 00:00:30.639470,0.5531327057698495,0.07971792966286287,0.02874456760084521,3,5,1055,0.06536279550389866,6.473937565797238,0.6010614058664316,COMPLETE
69,0.5884946560833613,2025-12-17 18:55:40.971338,2025-12-17 18:56:22.437299,0 days 00:00:41.465961,0.5998395718676437,0.01575253632264005,0.08619866105710072,5,4,1021,0.030528415125391055,6.004220526874543,0.6358485946369562,COMPLETE
70,0.5784789270082906,2025-12-17 18:56:22.440449,2025-12-17 18:56:57.419526,0 days 00:00:34.979077,0.566140160516038,0.10290174631731061,0.04234996837872315,3,3,1177,0.04272196550304342,7.283155004332814,0.6856738893791483,COMPLETE
71,0.5719485580103856,2025-12-17 18:56:57.422283,2025-12-17 18:57:36.638613,0 days 00:00:39.216330,0.5915374931186398,0.04583249559299596,0.05081590937050613,3,1,1135,0.003674692296462482,6.770341870662612,0.603055305299269,COMPLETE
72,0.5745402026743703,2025-12-17 18:57:36.641578,2025-12-17 18:58:15.861541,0 days 00:00:39.219963,0.5815951894109387,0.036853949271757606,0.052012001314004665,3,1,1154,0.004079378404688735,6.792149612738977,0.6188616758556068,COMPLETE
73,0.5752872984440541,2025-12-17 18:58:15.864270,2025-12-17 18:58:47.239707,0 days 00:00:31.375437,0.6127222572860426,0.13402692416585513,0.057078610253146936,3,2,1196,0.015059656045989966,6.185878214625435,0.6299443038179602,COMPLETE
74,0.5779106908003369,2025-12-17 18:58:47.242853,2025-12-17 18:59:25.620170,0 days 00:00:38.377317,0.5984551921471443,0.05126817164150622,0.04674369653376489,3,1,1113,0.020738907136168636,7.726085878107425,0.6460896596932642,COMPLETE
